number;name;father;mother;family;race;register
404;EL TESORO PROFANA T.E;GENGIS KHAN DE BRASILIA;PROFANA TN V ;PROFANA DE BRASILIA;GYR;HGY040260
1012;MANANTIALS GENOVEVA T.E.;NOBREGA FIV DO BASA;VIA LACTEA GALILEA T.E.;PROFANA DE BRASILIA;GYR;HGY085684
1042;MANANTIALS PALOMA T.E.;ANTONIONE FIV CABO VERDE;EL TESORO PROFARA T.E.;PROFANA DE BRASILIA;GYR;HGY083726
1092;MANANTIALS MORENA T.E.;NOBREGA FIV DO BASA;TASMANIA MANDALA T.E.;MANDALA VILA RICA;GYR;HGY083935
1112;MANANTIALS POLA T.E.;ANTONIONE FIV CABO VERDE;EL TESORO PROFARA;PROFANA DE BRASILIA;GYR;HGY083937
1142;MANANTIALS KENDRA T.E.;ANTONIONE FIV CABO VERDE;VIA LACTEA KATERINE T.E.;VIA LACTEA KATERINE T.E.;GYR;HGY083939
1162;;;;;GYR;
07/21;MANANTIALS LUNÁTICA T.E.;GENGIS KHAN DE BRASILIA;VIA LACTEA LUCRECIA T.E.;SOJA DE BRASILIA;GYR;HGY063807
08/23;MANANTIALS COQUETA T.E.;LIPE FIV F.MUTUM;MANANTIALS CARMEN;EL TESORO CHISPA;GYR;HGY084627
11/23;MANANTIALS JENN T.E.;GENGIS KHAN DE BRASILIA;EL TESORO JADE T.E.;HAICAI FIV DE BRAS.;GYR;HGY086980
20/1;V. HERMOSA SATENA;C.A SANSAO;EMPEDRADO RANCHERA;EMPEDRADO RANCHERA;GYR;HGY015045
10/9;MANANTIALS MAKENA T.E.;LIPE FIV F.MUTUM;V. HERMOSA TESALIA;EMPEDRADO RANCHERA;GYR;HGY052574
22/9;MANANTIALES CHISPA DIVINA;COLISEU TE GAM;EL TESORO CHISPA;EL TESORO CHISPA;GYR;HGY053374
004/21;V. HERMOSA GRACIA T.E.;GENGIS KHAN DE BRASILIA;V. HERMOSA JUICIOSA T.E.;FASE TE F. MUTUM;GYR;HGY063987
007/421;MANANTIALS DAMA T.E.;GENGIS KHAN DE BRASILIA;MANANTIALS DALAILA T.E.;SR. TANGO DULCINEA T.E.;GYR;HGY073505
008/21;V. HERMOSA GINA T.E.;GENGIS KHAN DE BRASILIA;V. HERMOSA ELENA T.E.;EMPATIA MUTUM;GYR;HGY063979
011/21;V. HERMOSA GAROTA T.E.;GENGIS KHAN DE BRASILIA;V. HERMOSA ELENA T.E.;EMPATIA MUTUM;GYR;HGY063982
